-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,14,-1,1167,1167,1167,1167,1168,1167,1168,1167,1168,1167,1167,-1,-1,-1,117,118,119,279,279,279,279,1167,1168,1167,1168,157,-1,12,-1,-1
-1,-1,-1,-1,1182,1182,1182,1182,1183,1182,1183,1182,1183,1182,1182,-1,-1,-1,132,133,134,294,294,294,294,1182,1183,1182,1183,172,-1,-1,-1,-1
-1,-1,-1,230,1197,1197,1197,1197,1198,1197,1198,1197,1198,1197,1197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1197,1198,1197,1198,230,-1,-1,-1,-1
-1,-1,-1,245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,245,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,36,1245,1215,1246,1245,1245,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,1245,1245,1276,1245,1245,36,28,-1,-1
-1,-1,-1,-1,-1,1260,1230,1261,1260,1260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1260,1260,1291,1260,1260,28,28,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1250,1251,1252,-1,1218,1219,1220,205,-1,-1,-1,-1,-1,1306,-1,-1,28,28,-1,-1
-1,-1,-1,-1,63,1245,1245,1245,1245,1245,63,-1,-1,-1,1265,1266,1267,-1,1233,1234,1235,220,-1,-1,63,1245,1275,1245,1277,1245,63,-1,-1,-1
-1,-1,-1,-1,78,1260,1260,1260,1260,1260,78,-1,-1,-1,1280,1281,1282,-1,-1,1181,-1,-1,-1,-1,78,1260,1290,1260,1292,1260,78,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1250,-1,-1,-1,-1,-1,1196,-1,-1,-1,-1,-1,-1,1305,-1,1307,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1
-1,-1,-1,-1,-1,1245,1245,1246,1215,1216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,1245,1245,1246,1245,1245,36,28,-1,-1
-1,-1,-1,-1,-1,1260,1260,1261,1230,1231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1260,1260,1261,1260,1260,28,28,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,28,-1,-1
